customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,customer_segment
fff39f01a81d96b066b1893ad395a98b,108,1,17.29,4,1,1,"New Customers"
5c155c5095c1d2ac15be7d90282057aa,105,1,17.29,4,1,1,"New Customers"
b0bd4acec8cfaa6f6f7f67792236401a,130,1,17.29,4,4,1,"Loyal Customers"
83a4c167271d0e1fd401e9f18a66d7c7,130,1,17.29,4,4,1,"Loyal Customers"
ba42ca46af3bb6e79e02b0f3d6db6ca5,163,1,17.29,4,4,1,"Loyal Customers"
0f99c31bedc34957e0dd7689d593a3b6,163,1,17.29,4,4,1,"Loyal Customers"
0b23173df4256132c3b3e3fe16c7f255,159,1,17.29,4,4,1,"Loyal Customers"
3300f6c7c4348403af41d6037c04f618,180,1,17.29,3,4,1,"Loyal Customers"
0beb6f83a9e13f0dc0645df5c1f8475f,151,1,17.29,4,4,1,"Loyal Customers"
72dcad042bdf5d01a5b6f9c2457c53b7,177,1,17.29,3,4,1,"Loyal Customers"
9f23c987df78ec6fc818779e59112676,266,1,17.34,3,2,1,"Loyal Customers"
3452a9ffe284a7466a4d5a4a800dcfa4,158,1,17.35,4,4,1,"Loyal Customers"
327add8939ed5d751acf04a85388e975,153,1,17.38,4,4,1,"Loyal Customers"
13709817a93e72b8a9752298c2e00580,213,1,17.38,3,4,1,"Loyal Customers"
b443cbafebdbd5c74e00d344cd9924f3,194,1,17.38,3,4,1,"Loyal Customers"
16b16dc22deb83d29f64a941d0382435,108,1,17.38,4,1,1,"New Customers"
3d7f68f4b6d4afd0a243b5f6bc894b7c,111,1,17.38,4,1,1,"New Customers"
da9d48cb8449edad3619186b3dd0c180,65,1,17.38,4,1,1,"New Customers"
56cb51bbf3ef8092a28e4d90f3f00030,90,1,17.38,4,1,1,"New Customers"
f6dd33efc35027b6c112319278461695,76,1,17.38,4,1,1,"New Customers"
9895eb12f68a5bd705616b6c4920b6ff,76,1,17.39,4,1,1,"New Customers"
5762791fc4f790e9bcd3b13e01e60f1f,75,1,17.39,4,1,1,"New Customers"
5d450b0db7c1b066c7dc768f9508f3de,53,1,17.39,4,1,1,"New Customers"
ab7a0ab7334e40030aad571444cf4a26,172,1,17.39,3,4,1,"Loyal Customers"
2798b51a189b8834e9d8d5907659a4bb,171,1,17.39,3,4,1,"Loyal Customers"
934cfec8dc670c6dc15ba7c6e787f344,225,1,17.40,3,1,1,"New Customers"
897e0d6c102b10089d7bb1a0f0b95e4b,469,1,17.59,1,3,1,Others
142fe4836c9bfdddbee1f3198dbf4337,197,1,17.61,3,4,1,"Loyal Customers"
7c94da97db6fe83e123f80baab533a97,650,1,17.62,1,2,1,"Lost Customers"
13a92c60521dad720cb0d2b3db0b75a0,245,1,17.64,3,1,1,"New Customers"
703a4658a9882c3bc7d617aa26d0a0b0,301,1,17.68,2,2,1,"At Risk"
e5e3ec222154fb7a9cec5b39c1011359,287,1,17.68,2,1,1,Others
f1719554f23dca686fac4913bb333447,280,1,17.68,2,1,1,Others
2bf92ca1c7f79559c6320a0ff28c8d56,272,1,17.68,2,2,1,"At Risk"
2fad1e5ed0a50e12c9c6e22e5548e1e7,231,1,17.68,3,2,1,"Loyal Customers"
81c68cd9f45038a8fb5ad8b119130111,229,1,17.68,3,1,1,"New Customers"
6f66591b4efe7a98a0886c99fb778133,396,1,17.68,2,3,1,"At Risk"
c112cbf7b38f4c1df8d307ac2f71c07e,606,1,17.69,1,3,1,Others
ec9e7950585c76612d342df2e70dab9c,235,1,17.73,3,2,1,"Loyal Customers"
c320b2d7c4d59481ab82858524fd7758,239,1,17.77,3,2,1,"Loyal Customers"
6a5f12dd53b794b45d03b7ab7c98aab5,293,1,17.77,2,1,1,Others
003ec17a1389fa302f3a0423dddd8650,276,1,17.77,2,2,1,"At Risk"
c60ebbc61c0e20d5df4a49b5034a8a71,274,1,17.77,2,2,1,"At Risk"
